UPC,LOT,Duplicate_Entries,Individual_Quantities,Total_Consolidated,Description,Assessment,Likely_Issue
882864264909,LOT 16264617,2,"1, 1",2,"Lenox Flatware, Esquire 65-Piece Set",SUSPICIOUS,Excel had duplicate rows - same item listed multiple times
882864277947,LOT 16264617,2,"1, 1",2,"Lenox Dinnerware, Set of 6 Butterfly",SUSPICIOUS,Excel had duplicate rows - same item listed multiple times
882864391216,LOT 16264617,2,"2, 1",3,Lenox Tuscany Buy 4 Get 6 Red Wine S No,REVIEW NEEDED,Multiple boxes/pallets OR Excel error - check original file
882864435019,LOT 16264617,2,"1, 1",2,Lenox Butterfly Meadow Thermal Trave,SUSPICIOUS,Excel had duplicate rows - same item listed multiple times
882864646866,LOT 16448708,2,"1, 1",2,Lenox Lenox Butterfly Meadow 28 Pc. Mult,SUSPICIOUS,Excel had duplicate rows - same item listed multiple times
882864841001,LOT 16448708,2,"1, 1",2,Lenox Lenox Butterfly Meadow Salt White,SUSPICIOUS,Excel had duplicate rows - same item listed multiple times
885991045229,LOT 16578199,2,"1, 1",2,Mikasa Regent Bead 65-Piece Flatware,SUSPICIOUS,Excel had duplicate rows - same item listed multiple times
885991196938,LOT 16264617,2,"1, 1",2,Mikasa Mikasa Cassia 12 Crystal Vase No,SUSPICIOUS,Excel had duplicate rows - same item listed multiple times
885991245780,LOT 16264617,2,"1, 1",2,Year Day Year Day 20-Pc. Flatware Set Ma,SUSPICIOUS,Excel had duplicate rows - same item listed multiple times
99967248372,LOT 16578199,2,"1, 2",3,Picnic Time St. Tropez Blanket Tote Outd,REVIEW NEEDED,Multiple boxes/pallets OR Excel error - check original file
